st_str,st_ID#,timer,depth_cmd,depth_ft,pitch_cmd,pitch_deg,rud_deg,h_deg,bce_cmd,bce_mm,batt_cmd,batt_mm,pitchRate_degs,depthRate_fps,sys_amps,sys_volts,int_PSI
            DIVE,03, 1518467959,   2.0,   0.1, -20.0,   2.3,   0.0, -62.4,  79.4, 158.4,  49.1,  29.6,  -0.0,  -0.2, 0.034, 26.30,  14.5                          
            DIVE,03, 1518467960,   2.0,   0.1, -20.0,   2.1,   0.0, -63.8,  79.8, 149.9,  49.0,  31.0,  -0.1,  -0.4, 0.032, 26.70,  14.4                          
            DIVE,03, 1518467961,   2.0,   0.1, -20.0,   2.1,   0.0, -67.6,  80.7, 137.8,  49.1,  33.2,   0.1,  -0.4, 0.028, 26.71,  14.5                          
            DIVE,03, 1518467962,   2.0,   0.1, -20.0,   2.1,   0.0, -73.0,  80.0, 127.1,  49.1,  36.5,   0.1,   0.2, 0.024, 26.63,  14.4                          
            DIVE,03, 1518467963,   2.0,   0.1, -20.0,   2.1,   0.0, -79.3,  79.4, 114.8,  49.1,  39.0,   0.1,   0.2, 0.023, 26.75,  14.4                          
            DIVE,03, 1518467964,   2.0,   0.1, -20.0,   2.1,   0.0, -85.7,  80.5, 104.1,  49.1,  42.0,  -0.0,   0.3, 0.029, 26.76,  14.4                          
            DIVE,03, 1518467965,   2.0,   0.1, -20.0,   2.1,   0.0, -91.7,  79.5,  96.8,  49.0,  44.3,  -0.1,   0.1, 0.021, 26.67,  14.4                          
            DIVE,03, 1518467966,   2.0,   0.1, -20.0,   2.1,   0.0, -97.3,  79.1,  89.9,  49.0,  46.4,  -0.1,   0.6, 0.029, 26.74,  14.3                          
            DIVE,03, 1518467967,   2.0,  -0.0, -20.0,   2.1,   0.0,-101.3,  78.0,  87.5,  49.0,  49.3,  -0.1,   0.5, 0.026, 26.75,  14.5                          
            DIVE,03, 1518467968,   2.0,   0.0, -20.0,   2.1,   0.0,-103.9,  78.2,  85.5,  49.1,  49.3,   0.0,  -0.2, 0.025, 26.83,  14.5                          
            DIVE,03, 1518467969,   2.0,   0.0, -20.0,   2.1,   0.0,-106.3,  78.9,  82.6,  49.1,  49.2,   0.0,  -0.2, 0.036, 26.59,  14.4                          
            DIVE,03, 1518467970,   2.0,   0.1, -20.0,   2.1,   0.0,-107.9,  79.4,  81.1,  49.1,  49.2,   0.0,  -0.2, 0.029, 26.78,  14.4                          
            DIVE,03, 1518467971,   2.0,   0.2, -20.0,   2.1,   0.0,-109.1,  81.5,  80.5,  49.1,  49.3,  -0.0,  -0.0, 0.024, 26.75,  14.5                          
            DIVE,03, 1518467972,   2.0,   0.1, -20.0,   2.1,   0.0,-110.1,  80.2,  80.8,  49.1,  49.2,   0.0,   0.1, 0.024, 26.56,  14.4                          
            DIVE,03, 1518467973,   2.0,   0.1, -20.0,   2.2,   0.0,-110.3,  80.6,  80.4,  49.1,  48.9,   0.0,   0.1, 0.027, 26.69,  14.5                          
            DIVE,03, 1518467974,   2.0,   0.1, -20.0,   2.1,   0.0,-110.4,  80.0,  80.8,  49.1,  49.2,  -0.0,   0.0, 0.026, 26.81,  14.4                          
            DIVE,03, 1518467975,   2.0,   0.1, -20.0,   2.1,   0.0,-110.7,  80.5,  80.6,  49.1,  48.9,  -0.0,   0.2, 0.024, 26.77,  14.5                          
            DIVE,03, 1518467976,   2.0,   0.1, -20.0,   2.1,   0.0,-111.1,  80.1,  80.7,  49.1,  49.6,  -0.0,  -0.4, 0.027, 26.79,  14.4                          
            DIVE,03, 1518467977,   2.0,   0.0, -20.0,   2.2,   0.0,-110.5,  78.5,  80.5,  49.1,  48.8,   0.0,  -0.2, 0.028, 26.79,  14.4                          
            DIVE,03, 1518467978,   2.0,   0.1, -20.0,   2.2,   0.0,-110.8,  80.8,  79.9,  49.1,  48.8,   0.0,   0.1, 0.025, 26.83,  14.5                          
 FLOAT_BROADCAST,08, 1518467979,  -1.0,   0.1,  20.0,   2.2,   0.0,-111.0, 320.0,  80.7,  73.0,  48.7,  -0.0,   0.1, 0.031, 26.75,  14.4                          
 FLOAT_BROADCAST,08, 1518467980,  -1.0,   0.1,  20.0,   2.2,   0.0,-111.5, 320.0,  87.4,  73.0,  51.1,   0.0,   0.3, 0.025, 26.78,  14.4                          
 FLOAT_BROADCAST,08, 1518467981,  -1.0,   0.1,  20.0,   2.2,   0.0,-110.6, 320.0, 100.2,  73.0,  53.5,  -0.1,  -0.1, 0.027, 26.80,  14.5                          
 FLOAT_BROADCAST,08, 1518467982,  -1.0,   0.1,  20.0,   2.2,   0.0,-108.5, 320.0, 109.9,  73.0,  56.3,  -0.2,   0.1, 0.026, 26.76,  14.5                          
 FLOAT_BROADCAST,08, 1518467983,  -1.0,   0.1,  20.0,   2.2,   0.0,-105.2, 320.0, 122.5,  73.0,  59.8,  -0.1,   0.1, 0.025, 26.87,  14.5                          
 FLOAT_BROADCAST,08, 1518467984,  -1.0,   0.1,  20.0,   2.2,   0.0,-100.5, 320.0, 134.7,  73.0,  62.1,   0.1,   0.2, 0.035, 26.78,  14.5                          
 FLOAT_BROADCAST,08, 1518467985,  -1.0,   0.1,  20.0,   2.3,   0.0, -94.1, 320.0, 146.5,  73.0,  64.0,   0.2,   0.1, 0.030, 26.91,  14.4                          
 FLOAT_BROADCAST,08, 1518467986,  -1.0,   0.2,  20.0,   2.3,   0.0, -86.4, 320.0, 157.7,  73.0,  67.2,   0.2,   0.1, 0.024, 26.70,  14.5                          
 FLOAT_BROADCAST,08, 1518467987,  -1.0,   0.1,  20.0,   2.3,   0.0, -77.6, 320.0, 167.5,  73.0,  69.4,   0.1,   0.1, 0.026, 26.70,  14.4                          
 FLOAT_BROADCAST,08, 1518467988,  -1.0,   0.1,  20.0,   2.3,   0.0, -68.6, 320.0, 181.9,  73.0,  72.6,   0.1,  -0.1, 0.025, 26.66,  14.4                          
 FLOAT_BROADCAST,08, 1518467989,  -1.0,   0.1,  20.0,   2.3,   0.0, -59.8, 320.0, 194.1,  73.0,  73.3,   0.0,   0.4, 0.026, 26.73,  14.5                          
 FLOAT_BROADCAST,08, 1518467990,  -1.0,   0.1,  20.0,   2.3,   0.0, -52.5, 320.0, 203.7,  73.0,  73.1,   0.0,  -0.8, 0.026, 26.71,  14.5                          
 FLOAT_BROADCAST,08, 1518467991,  -1.0,  -0.0,  20.0,   2.3,   0.0, -46.2, 320.0, 215.0,  73.0,  73.4,  -0.0,   0.5, 0.022, 26.71,  14.4                          
 FLOAT_BROADCAST,08, 1518467992,  -1.0,   0.1,  20.0,   2.3,   0.0, -41.9, 320.0, 227.3,  73.0,  72.8,   0.0,  -0.7, 0.032, 26.77,  14.4                          
 FLOAT_BROADCAST,08, 1518467993,  -1.0,   0.1,  20.0,   2.3,   0.0, -38.7, 320.0, 240.5,  73.0,  73.3,   0.0,  -0.0, 0.027, 26.70,  14.4                          
 FLOAT_BROADCAST,08, 1518467994,  -1.0,   0.1,  20.0,   2.3,   0.0, -36.4, 320.0, 253.5,  73.0,  73.2,  -0.0,  -0.1, 0.029, 26.75,  14.4                          
 FLOAT_BROADCAST,08, 1518467995,  -1.0,   0.1,  20.0,   2.3,   0.0, -34.8, 320.0, 261.5,  73.0,  73.2,  -0.0,   0.1, 0.027, 26.75,  14.4                          
 FLOAT_BROADCAST,08, 1518467996,  -1.0,   0.0,  20.0,   2.3,   0.0, -33.7, 320.0, 274.2,  73.0,  73.1,   0.0,   0.0, 0.026, 26.72,  14.4                          
 FLOAT_BROADCAST,08, 1518467997,  -1.0,   0.1,  20.0,   2.3,   0.0, -33.1, 320.0, 288.2,  73.0,  73.1,  -0.0,  -0.0, 0.029, 26.71,  14.5                          
